Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
 Hamza Express - Since 1918,Multicuisine,Shivajinagar,Central Bengaluru,35,650,4.0
 Hamza Express - Since 1918,Multicuisine,Shivajinagar,Central Bengaluru,35,650,4.0
Savera Lassi Shop,"Beverages, Ice Cream",Shivajinagar,Central Bengaluru,35,2000,4.7
Savera Lassi Shop,"Beverages, Ice Cream",Shivajinagar,Central Bengaluru,35,2000,4.7
My Breakfast,Multicuisine,Shivajinagar,Central Bengaluru,35,2000,4.0
My Breakfast,Multicuisine,Shivajinagar,Central Bengaluru,35,2000,4.0
Nawabi Chai,Cafe,Shivajinagar,Central Bengaluru,35,200,4.0
Nawabi Chai,Cafe,Shivajinagar,Central Bengaluru,35,200,4.0
Tipsy Cafe,Fast Food,Shivajinagar,Central Bengaluru,35,2000,4.0
Tipsy Cafe,Fast Food,Shivajinagar,Central Bengaluru,35,2000,4.0
Shahi Restaurant,Multicuisine,Shivajinagar,Central Bengaluru,35,2000,3.0
Shahi Restaurant,Multicuisine,Shivajinagar,Central Bengaluru,35,2000,3.0
Main Lassi Shop,Multicuisine,Shivajinagar,Central Bengaluru,35,2000,1.0
Main Lassi Shop,Multicuisine,Shivajinagar,Central Bengaluru,35,2000,1.0
Maggi Baba,Beverages,Shivajinagar,Central Bengaluru,25,200,5.0
Maggi Baba,Beverages,Shivajinagar,Central Bengaluru,25,200,5.0
Romeo Cafe,Multicuisine,Shivajinagar,Central Bengaluru,25,2000,4.0
Romeo Cafe,Multicuisine,Shivajinagar,Central Bengaluru,25,2000,4.0
CBD Central Bar District,Multicuisine,MSR Nagar,Bengaluru,50,1200,4.8
CBD Central Bar District,Multicuisine,MSR Nagar,Bengaluru,50,1200,4.8
Flo,"Multicuisine, Cocktail Menu",Church Street,Central Bengaluru,55,2000,3.3
Flo,"Multicuisine, Cocktail Menu",Church Street,Central Bengaluru,55,2000,3.3
ShakesBierre,"Cocktail Menu, Multicuisine",MG Road,Central Bengaluru,35,2000,4.4
ShakesBierre,"Cocktail Menu, Multicuisine",MG Road,Central Bengaluru,35,2000,4.4
Paradox Pub,"Chinese, Finger Food, Continental",Ashok Nagar,Bengaluru,55,1200,5.0
Paradox Pub,"Chinese, Finger Food, Continental",Ashok Nagar,Bengaluru,55,1200,5.0
Navya Samrat Restaurant,Multicuisine,Infantry Road,Central Bengaluru,35,2500,5.0
Navya Samrat Restaurant,Multicuisine,Infantry Road,Central Bengaluru,35,2500,5.0
Coastal Machali Co.,"Indian Coastal Cuisine, Chinese",Residency Road,Central Bengaluru,40,1500,4.6
Coastal Machali Co.,"Indian Coastal Cuisine, Chinese",Residency Road,Central Bengaluru,40,1500,4.6
SMOOR,European,Lavelle Road,Central Bengaluru,35,2000,4.6
SMOOR,European,Lavelle Road,Central Bengaluru,35,2000,4.6
Rolls On Wheels,"Chinese, Fast Food",Cunningham Road,Central Bengaluru,40,500,4.0
Rolls On Wheels,"Chinese, Fast Food",Cunningham Road,Central Bengaluru,40,500,4.0
Hatti Kaapi,Multicuisine,Infantry Road,Central Bengaluru,35,400,5.0
Hatti Kaapi,Multicuisine,Infantry Road,Central Bengaluru,35,400,5.0
Tiamo,"Italian, Mediterranean",Conrad,Bengaluru,40,3000,4.4
Tiamo,"Italian, Mediterranean",Conrad,Bengaluru,40,3000,4.4
Punjab Grill,North Indian,Ashok Nagar,Bengaluru,40,2000,4.2
Punjab Grill,North Indian,Ashok Nagar,Bengaluru,40,2000,4.2
Alchemy,"Fusion, Indian",The Chancery Pavilion,Bengaluru,35,2500,4.5
Alchemy,"Fusion, Indian",The Chancery Pavilion,Bengaluru,35,2500,4.5
JW Kitchen,Multicuisine,JW Marriott,Bengaluru,50,2500,4.4
JW Kitchen,Multicuisine,JW Marriott,Bengaluru,50,2500,4.4
Maayaa,South Indian,The Courtyard by Sublime,Bengaluru,40,2000,4.4
Maayaa,South Indian,The Courtyard by Sublime,Bengaluru,40,2000,4.4
Purpose Matcha + Coffee House,Coffee,Ashok Nagar,Bengaluru,25,550,4.7
Purpose Matcha + Coffee House,Coffee,Ashok Nagar,Bengaluru,25,550,4.7
Muro India,"Thai, Cantonese","Museum Road, Ashok Nagar",Bengaluru,25,5000,4.5
Muro India,"Thai, Cantonese","Museum Road, Ashok Nagar",Bengaluru,25,5000,4.5
Zed The Baker,"Italian, French",Church Street,Central Bengaluru,35,2000,4.5
Zed The Baker,"Italian, French",Church Street,Central Bengaluru,35,2000,4.5
Yauatcha,Multicuisine,,,25,3000,4.6
Yauatcha,Multicuisine,,,25,3000,4.6
Spice It,Multicuisine,,,55,2000,3.5
Spice It,Multicuisine,,,55,2000,3.5
Scottish Pub,Multicuisine,St. Marks Road,Central Bengaluru,35,2000,4.9
Scottish Pub,Multicuisine,St. Marks Road,Central Bengaluru,35,2000,4.9
Monsoon,Multicuisine,The Park,Bengaluru,50,2000,3.9
Monsoon,Multicuisine,The Park,Bengaluru,50,2000,3.9
Church Street Social,Multicuisine,Church Street,Central Bengaluru,25,2000,4.2
Church Street Social,Multicuisine,Church Street,Central Bengaluru,25,2000,4.2
Toca Terrace,Multicuisine,Brigade Road,Central Bengaluru,25,2000,4.0
Toca Terrace,Multicuisine,Brigade Road,Central Bengaluru,25,2000,4.0
SkyDeck By Sherlock's,Multicuisine,MG Road,Central Bengaluru,40,2000,4.1
SkyDeck By Sherlock's,Multicuisine,MG Road,Central Bengaluru,40,2000,4.1
Ishaara,Multicuisine,St. Marks Road,Central Bengaluru,35,1800,5.0
Ishaara,Multicuisine,St. Marks Road,Central Bengaluru,35,1800,5.0
Ta'aam,"Arabian, North Indian",Cunningham Road,Central Bengaluru,25,600,5.0
Ta'aam,"Arabian, North Indian",Cunningham Road,Central Bengaluru,25,600,5.0
Cafe Noir,European,UB City,Central Bengaluru,35,1000,4.4
Cafe Noir,European,UB City,Central Bengaluru,35,1000,4.4
Sable Cafe,"Desserts, European, Cafe",Indiranagar,East Bengaluru,40,600,4.0
Sable Cafe,"Desserts, European, Cafe",Indiranagar,East Bengaluru,40,600,4.0
New Kudla Family Restaurant,"North Indian, Chinese",MG Road,Central Bengaluru,75,2000,4.0
New Kudla Family Restaurant,"North Indian, Chinese",MG Road,Central Bengaluru,75,2000,4.0
Monarch Cafe,Multicuisine,Infantry Road,Central Bengaluru,25,2000,4.0
Monarch Cafe,Multicuisine,Infantry Road,Central Bengaluru,25,2000,4.0
Cafe Adams,European,Shivajinagar,Central Bengaluru,25,2000,4.0
Cafe Adams,European,Shivajinagar,Central Bengaluru,25,2000,4.0
Atlas World Cafe,Multicuisine,Vividus Hotel,Bengaluru,40,2000,4.2
Atlas World Cafe,Multicuisine,Vividus Hotel,Bengaluru,40,2000,4.2
Chianti,Multicuisine,MG Road,Central Bengaluru,35,2000,4.3
Chianti,Multicuisine,MG Road,Central Bengaluru,35,2000,4.3
Toscano,Italian,UB City,Central Bengaluru,25,2000,5.0
Toscano,Italian,UB City,Central Bengaluru,25,2000,5.0
Pasta Street,Multicuisine,Cunningham Road,Central Bengaluru,25,2000,4.6
Pasta Street,Multicuisine,Cunningham Road,Central Bengaluru,25,2000,4.6
Cahoots Classic Bar House,Multicuisine,Brigade Road,Central Bengaluru,35,4000,4.9
Cahoots Classic Bar House,Multicuisine,Brigade Road,Central Bengaluru,35,4000,4.9
Full Peg,"Finger Food, Cocktail Menu",Nagarbhavi,West Bengaluru,75,1000,4.0
Full Peg,"Finger Food, Cocktail Menu",Nagarbhavi,West Bengaluru,75,1000,4.0
The Biere Club,"Cocktail Menu, Multicuisine",Lavelle Road,Central Bengaluru,35,2000,4.4
The Biere Club,"Cocktail Menu, Multicuisine",Lavelle Road,Central Bengaluru,35,2000,4.4
Citrus Cafe,Multicuisine,,,35,1500,4.0
Citrus Cafe,Multicuisine,,,35,1500,4.0
Ssaffron,Indian,Shangri-La,Bengaluru,35,2500,4.5
Ssaffron,Indian,Shangri-La,Bengaluru,35,2500,4.5
Chin Lung Resto Bar,Multicuisine,Residency Road,Central Bengaluru,25,2000,4.5
Chin Lung Resto Bar,Multicuisine,Residency Road,Central Bengaluru,25,2000,4.5
Altitude Kitchen & Bar,"Cocktail Menu, Multicuisine",Basaveshwara Nagar,West Bengaluru,45,2000,3.4
Altitude Kitchen & Bar,"Cocktail Menu, Multicuisine",Basaveshwara Nagar,West Bengaluru,45,2000,3.4
Pixi,Continental,Ashok Nagar,Bengaluru,25,1600,5.0
Pixi,Continental,Ashok Nagar,Bengaluru,25,1600,5.0
Kari Theory,"Cocktail Menu, Multicuisine",Radisson,Bengaluru,45,2500,3.9
Kari Theory,"Cocktail Menu, Multicuisine",Radisson,Bengaluru,45,2500,3.9
B Cafe,Multicuisine,Shangri-La,Bengaluru,35,2500,4.6
B Cafe,Multicuisine,Shangri-La,Bengaluru,35,2500,4.6
Zest,Multicuisine,Southern Star,Bengaluru,40,2100,4.3
Zest,Multicuisine,Southern Star,Bengaluru,40,2100,4.3
Just Blr,Multicuisine,Brigade Road,Central Bengaluru,25,3000,4.5
Just Blr,Multicuisine,Brigade Road,Central Bengaluru,25,3000,4.5
Dindigul Thalappakatti,Multicuisine,MG Road,Central Bengaluru,25,950,4.9
Dindigul Thalappakatti,Multicuisine,MG Road,Central Bengaluru,25,950,4.9
Smoke House Deli,European,Lavelle Road,Central Bengaluru,25,2000,4.4
Smoke House Deli,European,Lavelle Road,Central Bengaluru,25,2000,4.4
24/7,Multicuisine,The Lalit Ashok,Bengaluru,40,2500,3.9
24/7,Multicuisine,The Lalit Ashok,Bengaluru,40,2500,3.9
Caraway Kitchen,"Continental, Asian, Indian",Conrad,Bengaluru,35,3000,4.4
Caraway Kitchen,"Continental, Asian, Indian",Conrad,Bengaluru,35,3000,4.4
Juliet,"European, Asian",,,35,3000,3.9
Juliet,"European, Asian",,,35,3000,3.9
Gufha Restaurant,Multicuisine,Guttahalli,North Bengaluru,35,2000,4.6
Gufha Restaurant,Multicuisine,Guttahalli,North Bengaluru,35,2000,4.6
"Salt - Indian Restaurant, Bar & Grill","Indian, Cocktail Menu",UB City,Central Bengaluru,25,2000,4.4
"Salt - Indian Restaurant, Bar & Grill","Indian, Cocktail Menu",UB City,Central Bengaluru,25,2000,4.4
Hype,Cocktail Menu,Shangri-La,Bengaluru,35,2500,4.1
Hype,Cocktail Menu,Shangri-La,Bengaluru,35,2500,4.1
T'art Cafe,Fast Food,Brigade Road,Central Bengaluru,35,2000,4.4
T'art Cafe,Fast Food,Brigade Road,Central Bengaluru,35,2000,4.4
Foo Brigade Road,"Asian, Chinese, Sushi",Brigade Road,Central Bengaluru,25,2500,4.4
Foo Brigade Road,"Asian, Chinese, Sushi",Brigade Road,Central Bengaluru,25,2500,4.4
Nasi and Mee,Asian,Richmond Town,Central Bengaluru,25,2000,4.7
Nasi and Mee,Asian,Richmond Town,Central Bengaluru,25,2000,4.7
Heyou,"Pan Asian, Asian, Continental",Ashok Nagar,Bengaluru,25,1800,4.0
Heyou,"Pan Asian, Asian, Continental",Ashok Nagar,Bengaluru,25,1800,4.0
Sana-Di-Ge ,"Biryani, Seafood, Regional Indian",,,35,2000,4.4
Sana-Di-Ge ,"Biryani, Seafood, Regional Indian",,,35,2000,4.4
URU - JP Nagar,"Cocktail Menu, Multicuisine",JP Nagar,South Bengaluru,35,2000,4.5
URU - JP Nagar,"Cocktail Menu, Multicuisine",JP Nagar,South Bengaluru,35,2000,4.5
The Foodstories Garden Cafe,Global Cuisine,Ashok Nagar,Bengaluru,25,1500,5.0
The Foodstories Garden Cafe,Global Cuisine,Ashok Nagar,Bengaluru,25,1500,5.0
Beijing Bites,Pan Asian,Richmond Road,Central Bengaluru,40,450,5.0
Beijing Bites,Pan Asian,Richmond Road,Central Bengaluru,40,450,5.0
Mikusu,"Chinese, Thai, Japanese",Conrad,Bengaluru,40,3000,4.5
Mikusu,"Chinese, Thai, Japanese",Conrad,Bengaluru,40,3000,4.5
1522 - The Pub,Multicuisine,Residency Road,Central Bengaluru,25,1500,4.2
1522 - The Pub,Multicuisine,Residency Road,Central Bengaluru,25,1500,4.2
Caprese,Italian,Shangri-La,Bengaluru,35,2500,4.7
Caprese,Italian,Shangri-La,Bengaluru,35,2500,4.7
Loco Lane,Multicuisine,Ashok Nagar,Bengaluru,25,2500,5.0
Loco Lane,Multicuisine,Ashok Nagar,Bengaluru,25,2500,5.0
Lumara Bar & Kitchen,Multicuisine,Old Madras Road,East Bengaluru,35,2500,4.1
Lumara Bar & Kitchen,Multicuisine,Old Madras Road,East Bengaluru,35,2500,4.1
Proxy - Rooftop Bar & Kitchen,"Finger Food, Cocktail Menu"," Icon Select By Bhagini, Mahadevpura",Bengaluru,50,2000,3.9
Proxy - Rooftop Bar & Kitchen,"Finger Food, Cocktail Menu"," Icon Select By Bhagini, Mahadevpura",Bengaluru,50,2000,3.9
Homiga,Korean,,,25,2000,4.3
Homiga,Korean,,,25,2000,4.3
House of Dopamine- HOD,Multicuisine,Koramangala,South Bengaluru,35,2500,3.0
House of Dopamine- HOD,Multicuisine,Koramangala,South Bengaluru,35,2500,3.0
LIT Gastropub,Multicuisine,Church Street,Central Bengaluru,50,2000,3.5
LIT Gastropub,Multicuisine,Church Street,Central Bengaluru,50,2000,3.5
Toscano,Italian,"Museum Road, Ashok Nagar",Bengaluru,25,1600,4.4
Toscano,Italian,"Museum Road, Ashok Nagar",Bengaluru,25,1600,4.4
The Kabab Studio,"North Indian, North Eastern, North West Frontier",,,35,2000,3.9
The Kabab Studio,"North Indian, North Eastern, North West Frontier",,,35,2000,3.9
Puran Da Dhaba,Indian,The Pride Hotel,Bengaluru,40,2000,3.9
Puran Da Dhaba,Indian,The Pride Hotel,Bengaluru,40,2000,3.9
Spice Terrace,North Indian,JW Marriott,Bengaluru,40,2800,4.5
Spice Terrace,North Indian,JW Marriott,Bengaluru,40,2800,4.5
Cafe G Holiday inn Bengaluru Racecourse,Multicuisine,Holiday inn,Bengaluru,35,2500,4.1
Cafe G Holiday inn Bengaluru Racecourse,Multicuisine,Holiday inn,Bengaluru,35,2500,4.1
Shokudo Select,"Japanese, Korean, Pan Asian",Banaswadi,North Bengaluru,35,2000,4.7
Shokudo Select,"Japanese, Korean, Pan Asian",Banaswadi,North Bengaluru,35,2000,4.7
AnTeRa Kitchen and Bar - Indiranagar,"Andhra, Multicuisine",100 Feet Road,East Bengaluru,35,1200,4.3
AnTeRa Kitchen and Bar - Indiranagar,"Andhra, Multicuisine",100 Feet Road,East Bengaluru,35,1200,4.3
Mainland China,Chinese,Church Street,Central Bengaluru,40,1600,4.4
Mainland China,Chinese,Church Street,Central Bengaluru,40,1600,4.4
Feast,Multicuisine,,,40,2500,4.5
Feast,Multicuisine,,,40,2500,4.5
Shiro,"Japanese, Pan Asian, Asian",UB City,Central Bengaluru,25,2500,4.3
Shiro,"Japanese, Pan Asian, Asian",UB City,Central Bengaluru,25,2500,4.3
No Limmits Lounge & Club,Multicuisine,Brigade Road,Central Bengaluru,45,2000,3.5
No Limmits Lounge & Club,Multicuisine,Brigade Road,Central Bengaluru,45,2000,3.5
Le Rock,Multicuisine,Brigade Road,Central Bengaluru,35,1200,4.2
Le Rock,Multicuisine,Brigade Road,Central Bengaluru,35,1200,4.2
Green Theory,Multicuisine,Residency Road,Central Bengaluru,25,2000,4.3
Green Theory,Multicuisine,Residency Road,Central Bengaluru,25,2000,4.3
Queens Restaurant,North Indian,Church Street,Central Bengaluru,35,2000,4.7
Queens Restaurant,North Indian,Church Street,Central Bengaluru,35,2000,4.7
Amaravathi Palace,Andhra,JP Nagar,South Bengaluru,35,600,4.4
Amaravathi Palace,Andhra,JP Nagar,South Bengaluru,35,600,4.4
Dishkeyaun The Bollywood Restaurant & Bar,"Indian, Modern Indian",,,35,1800,3.6
Dishkeyaun The Bollywood Restaurant & Bar,"Indian, Modern Indian",,,35,1800,3.6
Platform 65,Multicuisine,Bannerghatta Road,South Bengaluru,35,2000,4.0
Platform 65,Multicuisine,Bannerghatta Road,South Bengaluru,35,2000,4.0
Badmaash UB City,Indian,UB City,Central Bengaluru,35,2000,4.3
Badmaash UB City,Indian,UB City,Central Bengaluru,35,2000,4.3
Molly's Courtyard,"Indian, Japanese, Continental",Vasanth Nagar,Central Bengaluru,25,2000,3.5
Molly's Courtyard,"Indian, Japanese, Continental",Vasanth Nagar,Central Bengaluru,25,2000,3.5
Zodiac - The Fortune Palace,Multicuisine,Fortune Select JP Cosmos,Bengaluru,50,1800,4.0
Zodiac - The Fortune Palace,Multicuisine,Fortune Select JP Cosmos,Bengaluru,50,1800,4.0
Mannheim Craft Brewery,Multicuisine,Whitefield,East Bengaluru,40,2500,4.5
Mannheim Craft Brewery,Multicuisine,Whitefield,East Bengaluru,40,2500,4.5
Barbecue by Punjab Grill,"Beverages, Biryani, Finger Food",,,45,2000,4.0
Barbecue by Punjab Grill,"Beverages, Biryani, Finger Food",,,45,2000,4.0
NASHA The Resto Bar,Multicuisine,BTM,South Bengaluru,35,1200,4.0
NASHA The Resto Bar,Multicuisine,BTM,South Bengaluru,35,1200,4.0
Kenzai - Asian Kitchen And Lounge,Asian,Brigade Road,Central Bengaluru,40,2000,4.4
Kenzai - Asian Kitchen And Lounge,Asian,Brigade Road,Central Bengaluru,40,2000,4.4
One Atria Cafe,"Multicuisine, Biryani",Radisson Blu Atria,Bengaluru,35,2000,4.2
One Atria Cafe,"Multicuisine, Biryani",Radisson Blu Atria,Bengaluru,35,2000,4.2
Matsuri,"Japanese, Sushi",The Chancery Hotel,Bengaluru,40,2000,4.6
Matsuri,"Japanese, Sushi",The Chancery Hotel,Bengaluru,40,2000,4.6
Ging,"oriental, Cocktail Menu",Royal Orchid Central,Bengaluru,35,2500,4.3
Ging,"oriental, Cocktail Menu",Royal Orchid Central,Bengaluru,35,2500,4.3
Kake Di Hatti,North Indian,Brigade Road,Central Bengaluru,25,2000,4.5
Kake Di Hatti,North Indian,Brigade Road,Central Bengaluru,25,2000,4.5
Whispers Pub (Big Barn),Multicuisine,Banashankari,South Bengaluru,50,2000,4.4
Whispers Pub (Big Barn),Multicuisine,Banashankari,South Bengaluru,50,2000,4.4
Barbeque Nation,Multicuisine,,,25,2000,4.6
Barbeque Nation,Multicuisine,,,25,2000,4.6
Kudla,Multicuisine,Sampangi Rama Nagar,Bengaluru,40,2500,5.0
Kudla,Multicuisine,Sampangi Rama Nagar,Bengaluru,40,2500,5.0
Espressoulster Coffee,"Pasta, Sandwiches, Coffee",Koramangala,South Bengaluru,35,500,4.0
Espressoulster Coffee,"Pasta, Sandwiches, Coffee",Koramangala,South Bengaluru,35,500,4.0
Dolci - Lavelle Road,European,Lavelle Road,Central Bengaluru,55,800,5.0
Dolci - Lavelle Road,European,Lavelle Road,Central Bengaluru,55,800,5.0
Levels Pub & Kitchen,Multicuisine,JP Nagar,South Bengaluru,35,2000,4.3
Levels Pub & Kitchen,Multicuisine,JP Nagar,South Bengaluru,35,2000,4.3
 The Yard,Multicuisine,Doddanekkundi,Bengaluru,35,2000,3.8
 The Yard,Multicuisine,Doddanekkundi,Bengaluru,35,2000,3.8
Öz By Kebapci,Turkish,UB City,Central Bengaluru,25,2000,4.5
Öz By Kebapci,Turkish,UB City,Central Bengaluru,25,2000,4.5
Street Storyss,Multicuisine,Brigade Road,Central Bengaluru,35,1500,4.3
Street Storyss,Multicuisine,Brigade Road,Central Bengaluru,35,1500,4.3
Glass Kitchen & Bar,"Indian, Cocktail Menu",Holiday inn,Bengaluru,35,2500,4.1
Glass Kitchen & Bar,"Indian, Cocktail Menu",Holiday inn,Bengaluru,35,2500,4.1
Watson's,Multicuisine,Ulsoor,East Bengaluru,25,1500,4.4
Watson's,Multicuisine,Ulsoor,East Bengaluru,25,1500,4.4
Cha HongKong Eating House,"Chinese, Japanese, Asian",St. Marks Road,Central Bengaluru,35,1400,4.7
Cha HongKong Eating House,"Chinese, Japanese, Asian",St. Marks Road,Central Bengaluru,35,1400,4.7
Sea Rock Family Restaurant & Bar,Multicuisine,Seshadripuram,Central Bengaluru,35,2000,4.8
Sea Rock Family Restaurant & Bar,Multicuisine,Seshadripuram,Central Bengaluru,35,2000,4.8
Plan B,American,Brigade Road,Central Bengaluru,40,2000,3.8
Plan B,American,Brigade Road,Central Bengaluru,40,2000,3.8
Just BLR Arena,Multicuisine,Ashok Nagar,Bengaluru,35,1000,4.0
Just BLR Arena,Multicuisine,Ashok Nagar,Bengaluru,35,1000,4.0
Taal Bar at Ishaara,Modern Indian,Ashok Nagar,Bengaluru,35,2000,4.0
Taal Bar at Ishaara,Modern Indian,Ashok Nagar,Bengaluru,35,2000,4.0
Aqua,Multicuisine,The Park,Bengaluru,45,2500,4.1
Aqua,Multicuisine,The Park,Bengaluru,45,2500,4.1
Kohinoor - Rooftop Pan Indian Restaurant,"Indian, South Indian, Kebabs",s Hotel,Bengaluru,35,950,5.0
Kohinoor - Rooftop Pan Indian Restaurant,"Indian, South Indian, Kebabs",s Hotel,Bengaluru,35,950,5.0
Blah Bla (Indigo XP),Multicuisine,Koramangala,South Bengaluru,50,2000,3.7
Blah Bla (Indigo XP),Multicuisine,Koramangala,South Bengaluru,50,2000,3.7
Mirage,"Cocktail Menu, Multicuisine",Church Street,Central Bengaluru,40,2800,4.2
Mirage,"Cocktail Menu, Multicuisine",Church Street,Central Bengaluru,40,2800,4.2
Pinocchio Ristorante,Italian,Ashok Nagar,Bengaluru,25,700,4.5
Pinocchio Ristorante,Italian,Ashok Nagar,Bengaluru,25,700,4.5
Republic Of Noodles,Pan Asian,,,35,1500,4.7
Republic Of Noodles,Pan Asian,,,35,1500,4.7
Shooketts,"European, French",Ulsoor,East Bengaluru,25,2000,4.0
Shooketts,"European, French",Ulsoor,East Bengaluru,25,2000,4.0
The Golden Circle Brewery ,Multicuisine,Doddakannelli,Bengaluru,40,2000,4.2
The Golden Circle Brewery ,Multicuisine,Doddakannelli,Bengaluru,40,2000,4.2
Topic Craft Bar & Kitchen,"North Indian, Pan Asian, Continental",kengeri,South Bengaluru,35,2000,4.7
Topic Craft Bar & Kitchen,"North Indian, Pan Asian, Continental",kengeri,South Bengaluru,35,2000,4.7
Kai Bar and Kitchen,"Sushi, Global Cuisine",Ashok Nagar,Bengaluru,35,4400,4.1
Kai Bar and Kitchen,"Sushi, Global Cuisine",Ashok Nagar,Bengaluru,35,4400,4.1
Kaavu,Multicuisine,Brookefield,East Bengaluru,40,2000,4.4
Kaavu,Multicuisine,Brookefield,East Bengaluru,40,2000,4.4
Tottos Pizza,Multicuisine,"5th Avenue, Brigade Road",Central Bengaluru,35,2000,3.3
Tottos Pizza,Multicuisine,"5th Avenue, Brigade Road",Central Bengaluru,35,2000,3.3
Cafe Lazy Lad,Cafe,Cooke Town,North Bengaluru,35,2000,4.0
Cafe Lazy Lad,Cafe,Cooke Town,North Bengaluru,35,2000,4.0
1947 Restaurant - Rajajinagar,"Indian, Chinese",Rajajinagar,West Bengaluru,35,2000,4.4
1947 Restaurant - Rajajinagar,"Indian, Chinese",Rajajinagar,West Bengaluru,35,2000,4.4
Al Obediah Restaurant,Multicuisine,Frazer Town,Central Bengaluru,35,700,2.0
Al Obediah Restaurant,Multicuisine,Frazer Town,Central Bengaluru,35,700,2.0
The Fixx,"Cocktail Menu, Multicuisine",Koramangala,South Bengaluru,50,2000,4.0
The Fixx,"Cocktail Menu, Multicuisine",Koramangala,South Bengaluru,50,2000,4.0
"KICO Community, Cocktail, Coffee",Cocktail Menu,Ashok Nagar,Bengaluru,25,2000,3.0
"KICO Community, Cocktail, Coffee",Cocktail Menu,Ashok Nagar,Bengaluru,25,2000,3.0
Anupam's Coast II Coast,Multicuisine,Church Street,Central Bengaluru,35,2000,4.8
Anupam's Coast II Coast,Multicuisine,Church Street,Central Bengaluru,35,2000,4.8
Eight,Pan Asian,"Phoenix Mall Of Asia, Yelahanka",Bengaluru,40,2500,4.6
Eight,Pan Asian,"Phoenix Mall Of Asia, Yelahanka",Bengaluru,40,2500,4.6
Vapour Pub & Brewery,Multicuisine,100 Feet Road,East Bengaluru,45,2000,3.9
Vapour Pub & Brewery,Multicuisine,100 Feet Road,East Bengaluru,45,2000,3.9
Tyd Kitchen + Bar,Multicuisine,Hennur,North Bengaluru,45,2000,4.1
Tyd Kitchen + Bar,Multicuisine,Hennur,North Bengaluru,45,2000,4.1
Vapour Brewpub & Diner,Multicuisine,Sarjapur Road,South Bengaluru,45,2000,4.4
Vapour Brewpub & Diner,Multicuisine,Sarjapur Road,South Bengaluru,45,2000,4.4
Tandoor | A Heritage Indian Restaurant & Bar,North Indian,MG Road,Central Bengaluru,25,2000,4.7
Tandoor | A Heritage Indian Restaurant & Bar,North Indian,MG Road,Central Bengaluru,25,2000,4.7
Yazu Pan Asian Supper Club,"Japanese, Korean, Pan Asian",Ashok Nagar,Bengaluru,25,2000,4.0
Yazu Pan Asian Supper Club,"Japanese, Korean, Pan Asian",Ashok Nagar,Bengaluru,25,2000,4.0
Pizza Stop,"Fast Food, Italian",Lavelle Road,Central Bengaluru,40,700,4.0
Pizza Stop,"Fast Food, Italian",Lavelle Road,Central Bengaluru,40,700,4.0
MoMo Cafe,Multicuisine,Courtyard by Marriott,Bengaluru,45,2500,4.5
MoMo Cafe,Multicuisine,Courtyard by Marriott,Bengaluru,45,2500,4.5
The Roof - Asian Grill & Bar,"Asian, Pan Asian, Japanese",Marriott Executive Apartments,Bengaluru,25,5000,4.0
The Roof - Asian Grill & Bar,"Asian, Pan Asian, Japanese",Marriott Executive Apartments,Bengaluru,25,5000,4.0
Zodiac,Multicuisine,Fortune Select JP Cosmos,Bengaluru,40,2000,4.2
Zodiac,Multicuisine,Fortune Select JP Cosmos,Bengaluru,40,2000,4.2
Kathe - Speciality Coffee,"Cafe, Coffee",HSR,South Bengaluru,35,1000,4.0
Kathe - Speciality Coffee,"Cafe, Coffee",HSR,South Bengaluru,35,1000,4.0
The Lounge Cafe,"Iranian, Finger Food",Holiday inn,Bengaluru,35,2000,1.0
The Lounge Cafe,"Iranian, Finger Food",Holiday inn,Bengaluru,35,2000,1.0
OKO,Pan Asian,The Lalit Ashok,Bengaluru,40,2200,4.0
OKO,Pan Asian,The Lalit Ashok,Bengaluru,40,2200,4.0
Continuum,"Indian, Asian, European",JP Nagar,South Bengaluru,25,1500,4.8
Continuum,"Indian, Asian, European",JP Nagar,South Bengaluru,25,1500,4.8
Uptown Rooftop Grill & Bar,Multicuisine,Sahakara Nagar,North Bengaluru,45,2500,5.0
Uptown Rooftop Grill & Bar,Multicuisine,Sahakara Nagar,North Bengaluru,45,2500,5.0
The Grill & Cheese Cafe,Continental,Frazer Town,Central Bengaluru,35,2000,5.0
The Grill & Cheese Cafe,Continental,Frazer Town,Central Bengaluru,35,2000,5.0
UNO Izakaya,Japanese,JW Marriott,Bengaluru,45,4000,3.0
UNO Izakaya,Japanese,JW Marriott,Bengaluru,45,4000,3.0
Over Coffee “Restaurant + Wine bar”,European,Lavelle Road,Central Bengaluru,25,2000,4.2
Over Coffee “Restaurant + Wine bar”,European,Lavelle Road,Central Bengaluru,25,2000,4.2
Barley Broo,Multicuisine,Rajajinagar,West Bengaluru,45,2000,4.4
Barley Broo,Multicuisine,Rajajinagar,West Bengaluru,45,2000,4.4
Cafe Grey by Dongle & Co.,European,Indiranagar,East Bengaluru,35,2000,4.2
Cafe Grey by Dongle & Co.,European,Indiranagar,East Bengaluru,35,2000,4.2
Shift,Multicuisine,Marathahalli,East Bengaluru,50,2000,3.6
Shift,Multicuisine,Marathahalli,East Bengaluru,50,2000,3.6
The Big Baadshaah,Multicuisine,Marathahalli,East Bengaluru,25,2000,3.8
The Big Baadshaah,Multicuisine,Marathahalli,East Bengaluru,25,2000,3.8
